Issue ID,Rule ID,Screen,URL,Issue Frequency,Assistive Technology Combination,Summary,Steps to Reproduce,Actual Result,Expected Result,Screenshot,WCAG Success Criteria,WCAG Conformance Level,Functional Impact,Accessibility Impact / Severity,Instances,Disability Affected,Recommendation,QA Status,QA Comment,QA Screencast,QA Recommendation,,,,
1,man-auto-16,Leaderboards,https://www.pgatour.com/leaderboard.html,Global,Windows/ Chrome,Certain ARIA roles must be contained by particular parent,"1. Go to the URL.
2. Open the Browser Console.
3. Run aXe scan.
4. Look for issue ""Certain ARIA roles must be contained by particular parent"" as it's displayed on aXe results section and select ""Inspect"" button to be taken to the block of code where the issue is located.","The element does not include ARIA roles necessary to communicate the relationship to the screen reader with secondary elements.
","The element includes ARIA roles necessary to communicate the relationship to the screen reader with secondary elements.
",https://www.screencast.com/t/oWlXweJtpvU,1.3.1,A,Low,High,Observation: This issue is observed with the similar elements throughout the application.,"Visual, Cognitive","Remove the role=""tab"" from the different elements.",Open,,,,,,,
2,man-auto-10,Leaderboards,https://www.pgatour.com/leaderboard.html,Global,Windows/ Chrome,ID attribute value must be unique,"1. Go to the URL.
2. Open the Browser Console.
3. Run aXe scan.
4. Look for issue ""ID attribute value must be unique"" as it's displayed on aXe results section and select ""Inspect"" button to be taken to the block of code where the issue is located.","More than one instance of an active ID is found.

Duplicate IDs found:
""module-1626923406783-964940- ""

The value assigned to active ID attributes on focusable elements must be unique to prevent the second instance from being overlooked by assistive technology.",No repeated IDs are found.,https://www.screencast.com/t/ceaEk4d2t9sM,4.1.1,A,High,High,Observation: This issue is observed on all webpages throughout the application.,Visual,"Avoid having two active IDs of a different version (web mobile or desktop version) for the same element at the same time. 
In case the mobile responsive view is displaying, then the only ID that should be active is the ID of the corresponding mobile version. 
Make sure that each focusable element on the page with an active ID has a unique value. 

",Open,,,,,,,
3,man-sr-19,Leaderboards,https://www.pgatour.com/leaderboard.html,Individual ,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver",Links must have discernible text,"1. Go to the URL.
2. Navigate through the website using keyboard navigation or tab navigation until reaching links ""Live coverage is available, Player is in upcoming featured group's icon, Video highlights available for that player, etc."" in the leaderboard table.
3. Notice the purpose of this link is not being correctly communicated to screen reader users.","The links ""Live coverage is available, Player is in upcoming featured group's icon, Video highlights available for that player, etc."" in the leaderboard table is not descriptive or accurate, neither is it providing accurate information about where it is redirecting the user to.
 
This might be causing some difficulties for all users to navigate the website—but particularly for those with cognitive, language, and learning disabilities.",The text within the link or the adjacent text provide full context about where the user is going to be redirected to.,"https://www.screencast.com/t/QPf4dsezwgoP

https://www.screencast.com/t/n2pk5U8YRzy

https://www.screencast.com/t/OYMiqTzP9PiY

https://www.screencast.com/t/OYMiqTzP9PiY

https://www.screencast.com/t/ca3wtrBo

https://www.screencast.com/t/WiUqUwFLq8n

https://www.screencast.com/t/WPSKvRji8q

https://www.screencast.com/t/wDV8w5XbyTA

https://www.screencast.com/t/I9eMQleT ",2.4.4,A,Low,High,"1. PGA Tour Schedule > reach to row that contain graphic icons > notice
2. PGA Tour Schedule – Tournaments (Templated) > social media links ""Facebook, Instagram, Twitter"" in header navigation > Inspect > notice labels are not defined
3. PGA Tour Schedule – Tournaments (Templated) > links text on graphics ""Learn More"" under ""SPONSORS, LOCAL INFO, VOLUNTEER"" > notice
4. PGA Tour Schedule – Tournaments (Templated) > Graphics ""Sponsor Logo"" > notice
5. PGA Tour Schedule – Tournaments (Templated) > Link ""show more"" under heading ""FOLLOW US"" > notice
6. PGA Tour Schedule – Tournaments (Templated): A similar issue is observed with the link ""see more"" under heading ""TOURNAMENT FEED"".
7. PGA Tour Schedule – Tournaments (Templated) > Links ""left big image, right big image"" near footer region > notice","Cognitive, Visual","Three possible actions
a. Add more descriptive text within the <a> tag.
b. Use an aria-label or aria-labelledby attribute to provide proper context to each link.
c. Use an aria-describedby attribute to add more information about the link.

Refer to:
https://developers.google.com/web/fundamentals/accessibility/semantics-aria/aria-labels-and-relationships
https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/ARIA_Techniques/Using_the_aria-describedby_attribute",Open,,,,,,,
4,man-sr-19,Leaderboards,https://www.pgatour.com/leaderboard.html,Global,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver",Links must have discernible text,"1. Go to the URL.
2. Navigate through the website using keyboard navigation or tab navigation until reaching link ""© 2021 PGA TOUR, Inc | All Rights Reserved"".
3. Inspect element and notice the purpose of this link is not being correctly implemented for users.","The link "" © 2021 PGA TOUR, Inc | All Rights Reserved."" is not descriptive or accurate, neither is it providing accurate information about where it is redirecting the user to.
 
This might be causing some difficulties for all users to navigate the website—but particularly for those with cognitive, language, and learning disabilities.",The text within the link or the adjacent text provide full context about where the user is going to be redirected to.,"
https://www.screencast.com/t/Qbc41PJmg

https://www.screencast.com/t/kr2xmkXBkPQ

https://www.screencast.com/t/4NgmM1jf
 
https://www.screencast.com/t/6inmlDtng ",2.4.4,A,Low,High,"1. Leaderboard: A similar issue is observed with the graphics under heading ""Don't Miss This"".
2. Leaderboard: A similar issue is observed with the graphic link ""Rolex"".
3. PGA Tour Schedule – Tournaments (Templated): A similar issue is observed with the link ""weather 74 degree fahrenheit"".","Cognitive, Visual","Three possible actions
a. Add more descriptive text within the <a> tag.
b. Use an aria-label or aria-labelledby attribute to provide proper context to each link.
c. Use an aria-describedby attribute to add more information about the link.

Refer to:
https://developers.google.com/web/fundamentals/accessibility/semantics-aria/aria-labels-and-relationships
https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/ARIA_Techniques/Using_the_aria-describedby_attribute",Open,,,,,,,
5,man-auto-1,Leaderboards,https://www.pgatour.com/leaderboard.html,Global,Windows/ Chrome,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements","1. Go to the URL.
2. Open the Browser Console.
3. Run aXe scan.
4. Look for issue ""<ul> and <ol> must only directly contain <li>, <script> or <template> elements"" as it is displayed on aXe results section and select ""Inspect"" button to be taken to the block of code where the issue is located.","There are some elements breaking the correct structure of a list.

This issue might prevent the screen reader from announcing the number of available items on the list.",A correct structure for the list tag is provided.,https://www.screencast.com/t/l0rwKNOM8CVr,1.3.1,A,Low,High,Observation: This issue is reproducible for all similar elements present in the application.,"Visual, Cognitive",Remove extra <li> tags from the list.,Open,,,,,,,
6,man-auto-4,Leaderboards,https://www.pgatour.com/leaderboard.html,Global,Windows/ Chrome,The ARIA role must be appropriate for the element,"1. Go to the URL.
2. Open the Browser Console.
3. Run aXe scan.
4. Look for issue ""The ARIA role must be appropriate for the element"" as it is displayed on aXe results section and select ""Inspect"" button to be taken to the block of code where the issue is located.","No role is being announced.

The screen readers cannot convey missing semantic and interaction information intended by the author to users.","Role, name and/or value is announced by the screen reader.",https://www.screencast.com/t/LlKTLaBqYogK,1.3.1,A,Low,High,Observation: This issue is reproducible for all similar elements present in the application.,"Visual, Cognitive","Remove the ARIA role presentation from the element.
",Open,,,,,,,
7,man-auto-15,Leaderboards,https://www.pgatour.com/leaderboard.html,Global,Windows/ Chrome,All page content must be contained by landmarks,"1. Go to the URL.
2. Run NVDA tool.
3. Press (insert + f7) key and click on landmarks.
4. Notice that HTML document does not contain any landmark.","The HTML document does not contain any landmark.

Landmarks helps user to understand the structure of the document and to identify piece of content.
","All web pages should have, at least, the following landmarks:
- Header
- Main
- Footer
","https://www.screencast.com/t/E9R068OLs
https://www.screencast.com/t/1PyV2wbOEK",1.3.1,A,High,Low,Observation: This issue is reproducible for all webpages present in the application.,"Visual, Cognitive","Use <header> tag as a container of the banner region, <main> tag as a container of main region and <footer> tag as a container of the content info region.

You can also use aria roles for each landmark:
- Header landmark: role=“banner”,
- Main landmark: role=“main”,
- Footer landmark: role=“contentinfo”,
- Navigation landmark: role=“navigation”,
- Search: role=“search”

Finally, ensure that <header>, <main>, <footer> should be a direct child of <body> tag.

Refer to:
https://www.w3.org/WAI/tutorials/page-structure/regions/",Open,,,,,,,
8,man-auto-3,Leaderboards,https://www.pgatour.com/leaderboard.html,Global,Windows/ Chrome,Frames must have a title attribute,"1. Go to the URL.
2. Open the Browser Console.
3. Run aXe scan.
4. Look for issue ""Frames must have a title attribute"" as it's displayed on aXe results section and select ""Inspect"" button to be taken to the block of code where the issue is located.","The screen reader does not announce the iframe title.

Screen reader users have the option to pull up a list of titles for all frames on a page. Adding descriptive, unique titles allows users to quickly find the frame they need. If titles are not present, navigating through frames quickly becomes difficult and confusing.",Every frame as a unique title.,https://www.screencast.com/t/o5E38UyJvvY,4.1.2,A,Low,High,Observation: This issue is reproducible for all advertisement frames present in the application.,"Visual, Cognitive","1. Use the title attribute to define an accessible name for an iframe element.
2. Use the aria-label attribute to define an accessible name for an iframe element.
3. Use the aria-labelledby attribute to define an accessible name for an iframe element.
4. Accessible names should be short and describe the contents of the iframe element to help users decide whether to navigate to the iframe or not.
5. For iframes with no visible content, explicitly identify the iframe as having no information for the user (e.g. title=""No content"").

Refer to:
https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/ARIA_Techniques/Using_the_aria-label_attribute
",Open,,,,,,,
9,man-key-7,Leaderboards,https://www.pgatour.com/leaderboard.html,Individual ,Windows/ Chrome,Focus is not visible on elements,"1. Go to the URL.
2. Navigate the page using the keyboard.
3. Notice focus border is visible around all the focusable elements.","Focus is not visible on focusable elements ""icon-favourite, POS, icon-movement, COUNTRY, PLAYER NAME etc."" and button's ""icon article, regular-video-icon, featured-video-icon and featured-video-icon pre-live"" while the user is navigating through focusable elements with the keyboard.

Having a visual reference as to where the user is positioned on the page is important to make navigation easier for keyboard-only users and people with cognitive disabilities or attention disorders.",Focus border is visible around all the focusable elements.,"https://www.screencast.com/t/iUS81vabt

https://www.screencast.com/t/Pd9HSI8F6D",2.4.7,AA,Low,High,,"Cognitive, Visual, Physical","Provide a visible border/outline on each interactive element using CSS.

Refer to:
https://www.w3.org/TR/UNDERSTANDING-WCAG20/navigation-mechanisms-focus-visible.html
https://www.w3.org/TR/2016/NOTE-WCAG20-TECHS-20161007/C15",Open,,,,,,,
10,man-key-7,Leaderboards,https://www.pgatour.com/leaderboard.html,Individual ,Windows/ Chrome,Focus is not visible on elements,"1. Go to the URL.
2. Navigate the page using the keyboard.
3. Notice focus border is visible around all the focusable elements under table.","Focus border is not visible on focusable column's content examples - ""icon-favourite, COUNTRY, PLAYER NAME etc."" and dropdown's ""color picker"" while the user is navigating through focusable elements with the keyboard.

Having a visual reference as to where the user is positioned on the page is important to make navigation easier for keyboard-only users and people with cognitive disabilities or attention disorders.","Focus border is visible around all the focusable elements.
","https://www.screencast.com/t/vIac2qqzya

https://www.screencast.com/t/Pd9HSI8F6D

https://www.screencast.com/t/qmKaYEki
 
https://www.screencast.com/t/VVhahEhky

https://www.screencast.com/t/OdFpaiVMx

https://www.screencast.com/t/581Qac1xdlmx

https://www.screencast.com/t/QdRK5dbv7n

https://www.screencast.com/t/UpGfwbvWX4

https://www.screencast.com/t/7y3xbs4HaLK",2.4.7,AA,Low,High,"1. Leaderboards: A similar issue is observed with the button ""how to watch.
2. Leaderboards: Under leaderboard table, after selecting any data cell ""Player"" the focus indicator is not visible on the element round ""1, 2, 3, 4, and cell elements"" in tab ""PLAY-BY-PLAY"" - notice focus border is not visible to video's given in footer of expended contents.
3. Leaderboards: Under leaderboard table, after selecting any data cell ""Player"" the focus indicator is not visible on the element round ""1, 2, 3, 4"" in tab ""STATISTICS"" - notice focus border is not visible to video's given in footer of expended contents.
4. Leaderboards: Under leaderboard table, after selecting any data cell ""Player"" the focus indicator is not visible on the element round ""1, 2, 3, 4, and cell elements"" in tab ""SHOT TRACKER"" - notice focus border is not visible to video's given in footer of expended contents.
5. PGA Tour Schedule: A similar issue is observed with the graphics ""Barracuda Championship, World Golf Championships-FedEx St. Jude Invitational, Wyndham Championship"" under ""UPCOMING TOURNAMENTS"" combobox ""2020-2021"", button ""Print"", and table header elements ""DATES, TOURNAMENTS"".
6. PGA Tour Scheduling – Tournaments – Hole location: A similar issue is observed with the combobox ""Round 1"".
7. PGA Tour – Champions: A similar issue is observed with the button ""show more"" given under tab ""EVERYTHING"".
8. Leaderboards: Under leaderboard table, after selecting any data cell ""Player"", navigate to videos given in footer of expanded content, click on any video and navigate to button ""full screen"", after clicking navigate to button ""share"", click on it and notice focus is not visible on link ""facebook, linkedIn etc.""","Cognitive, Visual, Physical","Provide a visible border/outline on each interactive element using CSS.

Refer to:
https://www.w3.org/TR/UNDERSTANDING-WCAG20/navigation-mechanisms-focus-visible.html
https://www.w3.org/TR/2016/NOTE-WCAG20-TECHS-20161007/C15",Open,,,,,,,
